Date,Open,High,Low,Close,Adj Close,Volume
2020-11-03,12781.169922,12936.900391,12781.169922,12877.450195,12877.450195,4220070000
2020-11-04,12916.230469,13161.519531,12868.620117,12978.950195,12978.950195,4783040000
2020-11-05,13125.750000,13252.830078,13125.750000,13199.120117,13199.120117,4841190000
2020-11-06,13233.450195,13270.469727,13188.240234,13218.669922,13218.669922,4833950000
2020-11-09,13726.209961,13930.879883,13608.379883,13611.650391,13611.650391,8556610000
2020-11-10,13663.179688,13732.620117,13577.019531,13707.990234,13707.990234,6024230000
2020-11-11,13779.929688,13779.929688,13669.889648,13724.780273,13724.780273,4609970000
2020-11-12,13645.450195,13675.240234,13476.230469,13551.469727,13551.469727,4890120000
2020-11-13,13644.950195,13787.700195,13644.950195,13761.320313,13761.320313,4709670000
2020-11-16,13946.190430,13985.509766,13879.179688,13982.190430,13982.190430,5281980000
2020-11-17,13880.809570,13989.339844,13818.759766,13949.099609,13949.099609,4799570000
2020-11-18,13986.410156,14004.610352,13808.370117,13808.650391,13808.650391,5274450000
2020-11-19,13765.519531,13871.259766,13714.269531,13863.230469,13863.230469,4347200000
2020-11-20,13853.120117,13883.450195,13810.240234,13827.000000,13827.000000,4218970000
2020-11-23,13827.000000,14029.330078,13827.000000,13998.240234,13998.240234,5036290000
2020-11-24,14158.709961,14271.089844,14138.379883,14249.500000,14249.500000,6267570000
2020-11-25,14249.500000,14249.500000,14122.099609,14191.580078,14191.580078,4902560000
2020-11-27,14191.580078,14229.120117,14165.709961,14198.500000,14198.500000,2778450000
2020-11-30,14140.950195,14140.950195,13977.049805,14006.459961,14006.459961,6291400000
2020-12-01,14183.450195,14233.459961,14131.330078,14146.639648,14146.639648,5403660000
2020-12-02,14104.059570,14198.790039,14076.709961,14188.240234,14188.240234,5029620000
